modality,model_name,split,scenario_id,confusion_pair,residual_mechanism,recovery_route,n_high_conf_errors,mean_confidence,mean_risk,mean_sensor_confidence,mean_path_blocked_score
scan,baseline_scan_goal,test,perception_degradation,SOUTH->EAST,perception_axis_confusion,CAUTIOUS_REPLAN,43,0.9736687609302326,0.19260000000000002,0.16,0.049999999999999996
scan,class_weighted_focal_scan_goal,test,perception_degradation,SOUTH->EAST,perception_axis_confusion,CAUTIOUS_REPLAN,32,0.9677405753125,0.1926,0.16,0.05
fusion,class_weighted_focal_scan_depth_goal,test,perception_degradation,SOUTH->EAST,perception_axis_confusion,CAUTIOUS_REPLAN,30,0.9789397596666667,0.1926,0.16,0.05
fusion,baseline_scan_depth_goal,test,perception_degradation,SOUTH->EAST,perception_axis_confusion,CAUTIOUS_REPLAN,25,0.9654746900000001,0.1926,0.16,0.05
depth,baseline_depth_goal,test,perception_degradation,SOUTH->EAST,perception_axis_confusion,CAUTIOUS_REPLAN,24,0.9926473499999999,0.1926,0.16,0.05000000000000001
depth,baseline_depth_goal,test,external_path_blockage,EAST->SOUTH,blocked_path_high_conf_direction_error,REPLAN,10,0.956192362,0.2756,0.9200000000000002,0.72
depth,baseline_depth_goal,test,external_path_blockage,WEST->SOUTH,blocked_path_high_conf_direction_error,REPLAN,9,0.9681918822222223,0.2756,0.9200000000000002,0.72
scan,baseline_scan_goal,test,external_path_blockage,EAST->SOUTH,blocked_path_high_conf_direction_error,REPLAN,9,0.9465395155555556,0.2756,0.9200000000000002,0.72
scan,baseline_scan_goal,test,external_path_blockage,WEST->SOUTH,blocked_path_high_conf_direction_error,REPLAN,9,0.9993741288888889,0.2756,0.9200000000000002,0.72
fusion,baseline_scan_depth_goal,test,external_path_blockage,EAST->SOUTH,blocked_path_high_conf_direction_error,REPLAN,8,0.955346595,0.2756,0.92,0.72
fusion,baseline_scan_depth_goal,test,external_path_blockage,WEST->SOUTH,blocked_path_high_conf_direction_error,REPLAN,8,0.99954984875,0.2756,0.92,0.72
fusion,baseline_scan_depth_goal,test,external_path_blockage,WEST->NORTH,blocked_path_high_conf_direction_error,REPLAN,7,0.9889218557142857,0.2756,0.92,0.72
scan,class_weighted_focal_scan_goal,test,external_path_blockage,WEST->NORTH,blocked_path_high_conf_direction_error,REPLAN,7,0.96069106,0.2756,0.92,0.72
depth,baseline_depth_goal,test,external_path_blockage,WEST->NORTH,blocked_path_high_conf_direction_error,REPLAN,6,0.9810450583333333,0.2756,0.92,0.7200000000000001
fusion,class_weighted_focal_scan_depth_goal,test,external_path_blockage,WEST->NORTH,blocked_path_high_conf_direction_error,REPLAN,6,0.9593434083333333,0.2756,0.92,0.7200000000000001
fusion,class_weighted_focal_scan_depth_goal,test,external_path_blockage,WEST->SOUTH,blocked_path_high_conf_direction_error,REPLAN,6,0.9230541216666667,0.2756,0.92,0.7200000000000001
scan,baseline_scan_goal,test,external_path_blockage,WEST->NORTH,blocked_path_high_conf_direction_error,REPLAN,6,0.9800605883333334,0.2756,0.92,0.7200000000000001
scan,class_weighted_focal_scan_goal,test,external_path_blockage,WEST->SOUTH,blocked_path_high_conf_direction_error,REPLAN,6,0.9526778666666665,0.2756,0.92,0.7200000000000001
depth,baseline_depth_goal,test,external_path_blockage,SOUTH->EAST,blocked_path_high_conf_direction_error,REPLAN,5,0.92284085,0.2756,0.9200000000000002,0.72
depth,baseline_depth_goal,test,perception_degradation,WEST->NORTH,perception_lateral_depth_confusion,CAUTIOUS_REPLAN,4,0.996409765,0.1926,0.16,0.05
fusion,baseline_scan_depth_goal,test,perception_degradation,WEST->NORTH,perception_lateral_depth_confusion,CAUTIOUS_REPLAN,4,0.999552325,0.1926,0.16,0.05
