modality,model_name,split,residual_mechanism,recovery_route,n_errors,n_high_conf_errors,mean_confidence,mean_entropy,scenarios,confusion_pairs
scan,baseline_scan_goal,test,perception_axis_confusion,CAUTIOUS_REPLAN,67,43,0.9052499892537313,0.24255143824626865,perception_degradation,EAST->SOUTH|SOUTH->EAST
scan,class_weighted_focal_scan_goal,test,perception_axis_confusion,CAUTIOUS_REPLAN,82,32,0.8438609937804878,0.36320857700000003,perception_degradation,SOUTH->EAST
fusion,class_weighted_focal_scan_depth_goal,test,perception_axis_confusion,CAUTIOUS_REPLAN,60,30,0.8503849276666667,0.3278822591166667,perception_degradation,SOUTH->EAST
depth,baseline_depth_goal,test,blocked_path_high_conf_direction_error,REPLAN,30,30,0.959204172,0.16181006866666667,external_path_blockage,EAST->SOUTH|SOUTH->EAST|WEST->NORTH|WEST->SOUTH
fusion,baseline_scan_depth_goal,test,blocked_path_high_conf_direction_error,REPLAN,28,28,0.9757288875,0.10082828872678572,external_path_blockage,EAST->SOUTH|SOUTH->EAST|SOUTH->WEST|WEST->NORTH|WEST->SOUTH
scan,baseline_scan_goal,test,blocked_path_high_conf_direction_error,REPLAN,27,27,0.9696321911111111,0.12014171960518517,external_path_blockage,EAST->SOUTH|SOUTH->EAST|WEST->NORTH|WEST->SOUTH
fusion,baseline_scan_depth_goal,test,perception_axis_confusion,CAUTIOUS_REPLAN,39,25,0.8731317605128205,0.29995118910256413,perception_degradation,EAST->SOUTH|SOUTH->EAST
depth,baseline_depth_goal,test,perception_axis_confusion,CAUTIOUS_REPLAN,37,24,0.8922680951351352,0.23546626959459457,perception_degradation,EAST->SOUTH|SOUTH->EAST
fusion,class_weighted_focal_scan_depth_goal,test,blocked_path_high_conf_direction_error,REPLAN,16,16,0.937546859375,0.2580249089375,external_path_blockage,SOUTH->EAST|WEST->NORTH|WEST->SOUTH
scan,class_weighted_focal_scan_goal,test,blocked_path_high_conf_direction_error,REPLAN,13,13,0.956992663076923,0.18600416653846155,external_path_blockage,WEST->NORTH|WEST->SOUTH
