modality,model_name,split,scenario_id,n_rows,n_errors,n_high_conf_errors,mean_confidence,mean_risk,mean_sensor_confidence,mean_path_blocked_score,error_rate,high_conf_error_rate
depth,baseline_depth_goal,test,external_path_blockage,387,69,30,0.9294736932816537,0.2756,0.92,0.72,0.17829457364341086,0.07751937984496124
depth,baseline_depth_goal,test,nominal,370,24,2,0.9061106721081081,0.071,0.92,0.05,0.06486486486486487,0.005405405405405406
depth,baseline_depth_goal,test,perception_degradation,376,46,30,0.9573636221276596,0.1926,0.16,0.05,0.12234042553191489,0.0797872340425532
depth,baseline_depth_goal,train,external_path_blockage,385,18,1,0.9388607696363637,0.2756,0.9199999999999999,0.72,0.046753246753246755,0.0025974025974025974
depth,baseline_depth_goal,train,nominal,378,8,1,0.9787306782275133,0.071,0.9199999999999999,0.05,0.021164021164021163,0.0026455026455026454
depth,baseline_depth_goal,train,perception_degradation,384,14,0,0.9364697670833334,0.1926,0.16,0.05000000000000001,0.036458333333333336,0.0
depth,baseline_depth_goal,val,external_path_blockage,401,45,18,0.9277712984039901,0.2756,0.92,0.72,0.11221945137157108,0.04488778054862843
depth,baseline_depth_goal,val,nominal,382,46,15,0.9264588574345549,0.071,0.92,0.05,0.12041884816753927,0.03926701570680628
depth,baseline_depth_goal,val,perception_degradation,394,57,22,0.9237270443401016,0.1926,0.16,0.05000000000000001,0.1446700507614213,0.05583756345177665
fusion,baseline_scan_depth_goal,test,external_path_blockage,387,55,28,0.9481897342118863,0.2756,0.92,0.72,0.1421188630490956,0.07235142118863049
fusion,baseline_scan_depth_goal,test,nominal,370,51,4,0.8830087127567566,0.071,0.92,0.05,0.13783783783783785,0.010810810810810811
fusion,baseline_scan_depth_goal,test,perception_degradation,376,48,32,0.9638501154521276,0.1926,0.16,0.05,0.1276595744680851,0.0851063829787234
fusion,baseline_scan_depth_goal,train,external_path_blockage,385,10,1,0.9586607321818181,0.2756,0.9199999999999999,0.72,0.025974025974025976,0.0025974025974025974
fusion,baseline_scan_depth_goal,train,nominal,378,3,0,0.9815264344444445,0.071,0.9199999999999999,0.05,0.007936507936507936,0.0
fusion,baseline_scan_depth_goal,train,perception_degradation,384,9,2,0.9590926135677084,0.1926,0.16,0.05000000000000001,0.0234375,0.005208333333333333
fusion,baseline_scan_depth_goal,val,external_path_blockage,401,60,23,0.9299489917456359,0.2756,0.92,0.72,0.14962593516209477,0.057356608478802994
fusion,baseline_scan_depth_goal,val,nominal,382,57,23,0.9305496664659686,0.071,0.92,0.05,0.14921465968586387,0.060209424083769635
fusion,baseline_scan_depth_goal,val,perception_degradation,394,81,43,0.9381412277918781,0.1926,0.16,0.05000000000000001,0.20558375634517767,0.10913705583756345
fusion,class_weighted_focal_scan_depth_goal,test,external_path_blockage,387,78,16,0.822209044754522,0.2756,0.92,0.72,0.20155038759689922,0.041343669250646
fusion,class_weighted_focal_scan_depth_goal,test,nominal,370,66,0,0.8601083831621622,0.071,0.92,0.05,0.1783783783783784,0.0
fusion,class_weighted_focal_scan_depth_goal,test,perception_degradation,376,70,36,0.9085255121276595,0.1926,0.16,0.05,0.18617021276595744,0.09574468085106383
fusion,class_weighted_focal_scan_depth_goal,train,external_path_blockage,385,34,1,0.8449667982857143,0.2756,0.9199999999999999,0.72,0.08831168831168831,0.0025974025974025974
fusion,class_weighted_focal_scan_depth_goal,train,nominal,378,22,0,0.9003822727513228,0.071,0.9199999999999999,0.05,0.0582010582010582,0.0
fusion,class_weighted_focal_scan_depth_goal,train,perception_degradation,384,48,1,0.8730905544010418,0.1926,0.16,0.05000000000000001,0.125,0.0026041666666666665
