time_step,robot_position,target_position,risk_score,localization_uncertainty,sensor_confidence,path_blocked_score,obstacle_proximity,trajectory_deviation,replanning_failure_count,task_progress_stagnation,router_decision,failure_event,task_status,speed_state,moved,dynamic_obstacles,path
0,"(2, 1)","(16, 10)",0.1322,0.05,0.98,0.0,1.0,0.0,0,0.0,NORMAL_NAVIGATION,none,running,normal,True,,"(1, 1);(2, 1);(3, 1);(4, 1);(5, 1);(6, 1);(7, 1);(8, 1);(9, 1);(10, 1);(11, 1);(12, 1);(13, 1);(14, 1);(15, 1);(16, 1);(16, 2);(16, 3);(16, 4);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
1,"(3, 1)","(16, 10)",0.1322,0.05,0.98,0.0,1.0,0.0,0,0.0,NORMAL_NAVIGATION,none,running,normal,True,,"(1, 1);(2, 1);(3, 1);(4, 1);(5, 1);(6, 1);(7, 1);(8, 1);(9, 1);(10, 1);(11, 1);(12, 1);(13, 1);(14, 1);(15, 1);(16, 1);(16, 2);(16, 3);(16, 4);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
2,"(4, 1)","(16, 10)",0.1322,0.05,0.98,0.0,1.0,0.0,0,0.0,NORMAL_NAVIGATION,none,running,normal,True,,"(1, 1);(2, 1);(3, 1);(4, 1);(5, 1);(6, 1);(7, 1);(8, 1);(9, 1);(10, 1);(11, 1);(12, 1);(13, 1);(14, 1);(15, 1);(16, 1);(16, 2);(16, 3);(16, 4);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
3,"(5, 1)","(16, 10)",0.1322,0.05,0.98,0.0,1.0,0.0,0,0.0,NORMAL_NAVIGATION,none,running,normal,True,,"(1, 1);(2, 1);(3, 1);(4, 1);(5, 1);(6, 1);(7, 1);(8, 1);(9, 1);(10, 1);(11, 1);(12, 1);(13, 1);(14, 1);(15, 1);(16, 1);(16, 2);(16, 3);(16, 4);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
4,"(6, 1)","(16, 10)",0.1322,0.05,0.98,0.0,1.0,0.0,0,0.0,NORMAL_NAVIGATION,none,running,normal,True,,"(1, 1);(2, 1);(3, 1);(4, 1);(5, 1);(6, 1);(7, 1);(8, 1);(9, 1);(10, 1);(11, 1);(12, 1);(13, 1);(14, 1);(15, 1);(16, 1);(16, 2);(16, 3);(16, 4);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
5,"(7, 1)","(16, 10)",0.1322,0.05,0.98,0.0,1.0,0.0,0,0.0,NORMAL_NAVIGATION,none,running,normal,True,,"(1, 1);(2, 1);(3, 1);(4, 1);(5, 1);(6, 1);(7, 1);(8, 1);(9, 1);(10, 1);(11, 1);(12, 1);(13, 1);(14, 1);(15, 1);(16, 1);(16, 2);(16, 3);(16, 4);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
6,"(8, 1)","(16, 10)",0.1322,0.05,0.98,0.0,1.0,0.0,0,0.0,NORMAL_NAVIGATION,none,running,normal,True,,"(1, 1);(2, 1);(3, 1);(4, 1);(5, 1);(6, 1);(7, 1);(8, 1);(9, 1);(10, 1);(11, 1);(12, 1);(13, 1);(14, 1);(15, 1);(16, 1);(16, 2);(16, 3);(16, 4);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
7,"(9, 1)","(16, 10)",0.1322,0.05,0.98,0.0,1.0,0.0,0,0.0,NORMAL_NAVIGATION,none,running,normal,True,,"(1, 1);(2, 1);(3, 1);(4, 1);(5, 1);(6, 1);(7, 1);(8, 1);(9, 1);(10, 1);(11, 1);(12, 1);(13, 1);(14, 1);(15, 1);(16, 1);(16, 2);(16, 3);(16, 4);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
8,"(8, 1)","(16, 10)",0.1489,0.05,0.98,0.0,1.0,0.0,0,0.1667,NORMAL_NAVIGATION,dynamic_obstacle_blocks_path,running,normal,True,"(10, 1)","(8, 1);(8, 2);(8, 3);(8, 4);(8, 5);(9, 1);(9, 5);(10, 5);(11, 5);(12, 5);(13, 5);(14, 5);(15, 5);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
9,"(8, 2)","(16, 10)",0.1322,0.05,0.98,0.0,1.0,0.0,0,0.0,NORMAL_NAVIGATION,none,running,normal,True,"(10, 1)","(8, 1);(8, 2);(8, 3);(8, 4);(8, 5);(9, 1);(9, 5);(10, 5);(11, 5);(12, 5);(13, 5);(14, 5);(15, 5);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
10,"(8, 3)","(16, 10)",0.1322,0.05,0.98,0.0,1.0,0.0,0,0.0,NORMAL_NAVIGATION,none,running,normal,True,"(10, 1)","(8, 1);(8, 2);(8, 3);(8, 4);(8, 5);(9, 1);(9, 5);(10, 5);(11, 5);(12, 5);(13, 5);(14, 5);(15, 5);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
11,"(8, 4)","(16, 10)",0.1322,0.05,0.98,0.0,1.0,0.0,0,0.0,NORMAL_NAVIGATION,none,running,normal,True,"(10, 1)","(8, 1);(8, 2);(8, 3);(8, 4);(8, 5);(9, 1);(9, 5);(10, 5);(11, 5);(12, 5);(13, 5);(14, 5);(15, 5);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
12,"(8, 5)","(16, 10)",0.1085,0.085,0.98,0.0,0.75,0.0,0,0.0,NORMAL_NAVIGATION,localization_drift_increasing,running,normal,True,"(10, 1)","(8, 1);(8, 2);(8, 3);(8, 4);(8, 5);(9, 1);(9, 5);(10, 5);(11, 5);(12, 5);(13, 5);(14, 5);(15, 5);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
13,"(9, 5)","(16, 10)",0.1448,0.12,0.98,0.0,1.0,0.0,0,0.0,NORMAL_NAVIGATION,localization_drift_increasing,running,normal,True,"(10, 1)","(8, 1);(8, 2);(8, 3);(8, 4);(8, 5);(9, 1);(9, 5);(10, 5);(11, 5);(12, 5);(13, 5);(14, 5);(15, 5);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
14,"(10, 5)","(16, 10)",0.1511,0.155,0.98,0.0,1.0,0.0,0,0.0,NORMAL_NAVIGATION,localization_drift_increasing,running,normal,True,"(10, 1)","(8, 1);(8, 2);(8, 3);(8, 4);(8, 5);(9, 1);(9, 5);(10, 5);(11, 5);(12, 5);(13, 5);(14, 5);(15, 5);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
15,"(11, 5)","(16, 10)",0.1274,0.19,0.98,0.0,0.75,0.0,0,0.0,NORMAL_NAVIGATION,localization_drift_increasing,running,normal,True,"(10, 1)","(8, 1);(8, 2);(8, 3);(8, 4);(8, 5);(9, 1);(9, 5);(10, 5);(11, 5);(12, 5);(13, 5);(14, 5);(15, 5);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
16,"(12, 5)","(16, 10)",0.1637,0.225,0.98,0.0,1.0,0.0,0,0.0,NORMAL_NAVIGATION,localization_drift_increasing,running,normal,True,"(10, 1)","(8, 1);(8, 2);(8, 3);(8, 4);(8, 5);(9, 1);(9, 5);(10, 5);(11, 5);(12, 5);(13, 5);(14, 5);(15, 5);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
17,"(13, 5)","(16, 10)",0.14,0.26,0.98,0.0,0.75,0.0,0,0.0,NORMAL_NAVIGATION,localization_drift_increasing,running,normal,True,"(10, 1)","(8, 1);(8, 2);(8, 3);(8, 4);(8, 5);(9, 1);(9, 5);(10, 5);(11, 5);(12, 5);(13, 5);(14, 5);(15, 5);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
18,"(14, 5)","(16, 10)",0.1835,0.295,0.935,0.0,1.0,0.0,0,0.0,NORMAL_NAVIGATION,localization_drift_increasing|sensor_confidence_drop,running,normal,True,"(10, 1)","(8, 1);(8, 2);(8, 3);(8, 4);(8, 5);(9, 1);(9, 5);(10, 5);(11, 5);(12, 5);(13, 5);(14, 5);(15, 5);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
19,"(15, 5)","(16, 10)",0.167,0.33,0.89,0.0,0.75,0.0,0,0.0,NORMAL_NAVIGATION,localization_drift_increasing|sensor_confidence_drop,running,normal,True,"(10, 1)","(8, 1);(8, 2);(8, 3);(8, 4);(8, 5);(9, 1);(9, 5);(10, 5);(11, 5);(12, 5);(13, 5);(14, 5);(15, 5);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
20,"(16, 5)","(16, 10)",0.2105,0.365,0.845,0.0,1.0,0.0,0,0.0,NORMAL_NAVIGATION,localization_drift_increasing|sensor_confidence_drop,running,normal,True,"(10, 1)","(8, 1);(8, 2);(8, 3);(8, 4);(8, 5);(9, 1);(9, 5);(10, 5);(11, 5);(12, 5);(13, 5);(14, 5);(15, 5);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
21,"(16, 6)","(16, 10)",0.224,0.4,0.8,0.0,1.0,0.0,0,0.0,NORMAL_NAVIGATION,localization_drift_increasing|sensor_confidence_drop,running,normal,True,"(10, 1)","(8, 1);(8, 2);(8, 3);(8, 4);(8, 5);(9, 1);(9, 5);(10, 5);(11, 5);(12, 5);(13, 5);(14, 5);(15, 5);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
22,"(16, 7)","(16, 10)",0.2375,0.435,0.755,0.0,1.0,0.0,0,0.0,NORMAL_NAVIGATION,localization_drift_increasing|sensor_confidence_drop,running,normal,True,"(10, 1)","(8, 1);(8, 2);(8, 3);(8, 4);(8, 5);(9, 1);(9, 5);(10, 5);(11, 5);(12, 5);(13, 5);(14, 5);(15, 5);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
23,"(16, 8)","(16, 10)",0.251,0.47,0.71,0.0,1.0,0.0,0,0.0,NORMAL_NAVIGATION,localization_drift_increasing|sensor_confidence_drop,running,normal,True,"(10, 1)","(8, 1);(8, 2);(8, 3);(8, 4);(8, 5);(9, 1);(9, 5);(10, 5);(11, 5);(12, 5);(13, 5);(14, 5);(15, 5);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
24,"(15, 8)","(2, 10)",0.2512,0.505,0.665,0.0,0.75,0.0,0,0.1667,NORMAL_NAVIGATION,localization_drift_increasing|sensor_confidence_drop|target_changed,running,normal,True,"(10, 1)","(2, 8);(2, 9);(2, 10);(3, 8);(4, 8);(5, 8);(6, 8);(7, 8);(8, 8);(9, 8);(10, 8);(11, 8);(12, 8);(13, 8);(14, 8);(15, 8);(16, 8)"
25,"(14, 8)","(2, 10)",0.278,0.54,0.62,0.0,1.0,0.0,0,0.0,NORMAL_NAVIGATION,localization_drift_increasing|sensor_confidence_drop,running,normal,True,"(10, 1)","(2, 8);(2, 9);(2, 10);(3, 8);(4, 8);(5, 8);(6, 8);(7, 8);(8, 8);(9, 8);(10, 8);(11, 8);(12, 8);(13, 8);(14, 8);(15, 8);(16, 8)"
26,"(13, 8)","(2, 10)",0.2615,0.575,0.575,0.0,0.75,0.0,0,0.0,NORMAL_NAVIGATION,localization_drift_increasing|sensor_confidence_drop,running,normal,True,"(10, 1)","(2, 8);(2, 9);(2, 10);(3, 8);(4, 8);(5, 8);(6, 8);(7, 8);(8, 8);(9, 8);(10, 8);(11, 8);(12, 8);(13, 8);(14, 8);(15, 8);(16, 8)"
27,"(12, 8)","(2, 10)",0.275,0.61,0.53,0.0,0.75,0.0,0,0.0,NORMAL_NAVIGATION,localization_drift_increasing|sensor_confidence_drop,running,normal,True,"(10, 1)","(2, 8);(2, 9);(2, 10);(3, 8);(4, 8);(5, 8);(6, 8);(7, 8);(8, 8);(9, 8);(10, 8);(11, 8);(12, 8);(13, 8);(14, 8);(15, 8);(16, 8)"
28,"(11, 8)","(2, 10)",0.2885,0.645,0.485,0.0,0.75,0.0,0,0.0,NORMAL_NAVIGATION,localization_drift_increasing|sensor_confidence_drop,running,normal,True,"(10, 1)","(2, 8);(2, 9);(2, 10);(3, 8);(4, 8);(5, 8);(6, 8);(7, 8);(8, 8);(9, 8);(10, 8);(11, 8);(12, 8);(13, 8);(14, 8);(15, 8);(16, 8)"
29,"(10, 8)","(2, 10)",0.3257,0.645,0.44,0.0,1.0,0.0,0,0.0,NORMAL_NAVIGATION,sensor_confidence_drop,running,normal,True,"(10, 1)","(2, 8);(2, 9);(2, 10);(3, 8);(4, 8);(5, 8);(6, 8);(7, 8);(8, 8);(9, 8);(10, 8);(11, 8);(12, 8);(13, 8);(14, 8);(15, 8);(16, 8)"
30,"(9, 8)","(2, 10)",0.3329,0.645,0.395,0.0,1.0,0.0,0,0.0,NORMAL_NAVIGATION,sensor_confidence_drop,running,normal,True,"(10, 1)","(2, 8);(2, 9);(2, 10);(3, 8);(4, 8);(5, 8);(6, 8);(7, 8);(8, 8);(9, 8);(10, 8);(11, 8);(12, 8);(13, 8);(14, 8);(15, 8);(16, 8)"
31,"(8, 8)","(2, 10)",0.3029,0.645,0.395,0.0,0.75,0.0,0,0.0,NORMAL_NAVIGATION,replanning_backend_unstable,running,normal,True,"(10, 1)","(2, 8);(2, 9);(2, 10);(3, 8);(4, 8);(5, 8);(6, 8);(7, 8);(8, 8);(9, 8);(10, 8);(11, 8);(12, 8);(13, 8);(14, 8);(15, 8);(16, 8)"
